fragment.id;odkaz.id;from;to
8939861;10025877;158/1999 Sb.;1/1993 Sb.
12563525;13340691;290/2002 Sb.;1/1993 Sb.
56691004;30567677;634/2004 Sb.;1/1993 Sb.
56691006;14976457;634/2004 Sb.;1/1993 Sb.
56691008;30567781;634/2004 Sb.;1/1993 Sb.
3530420;5148287;62/1988 Sb.;10/1993 Sb.
3530420;5148503;62/1988 Sb.;201/2012 Sb.
3530420;5148539;62/1988 Sb.;201/2012 Sb.
8299779;9720149;123/1998 Sb.;10/1993 Sb.
8299779;9719813;123/1998 Sb.;201/2012 Sb.
8299779;9719861;123/1998 Sb.;254/2001 Sb.
8299779;9720053;123/1998 Sb.;283/2021 Sb.
56519740;5020431;61/1988 Sb.;10/1993 Sb.
56101343;8440645;117/1995 Sb.;10/1993 Sb.
56101343;8440801;117/1995 Sb.;15/1993 Sb.
56101343;8441269;117/1995 Sb.;48/1997 Sb.
56770642;8846707;155/1995 Sb.;10/1993 Sb.
56770642;8847241;155/1995 Sb.;42/1994 Sb.
11212242;12040125;102/2001 Sb.;201/2012 Sb.
11212242;12040037;102/2001 Sb.;455/1991 Sb.
11212242;12039949;102/2001 Sb.;156/2000 Sb.
11212242;12040015;102/2001 Sb.;634/2004 Sb.
17718163;17669349;25/2008 Sb.;201/2012 Sb.
56518038;5108853;44/1988 Sb.;254/2001 Sb.
56518038;5108419;44/1988 Sb.;128/2000 Sb.
56536758;9190357;13/1997 Sb.;254/2001 Sb.
55984891;11557915;219/2000 Sb.;254/2001 Sb.
56519764;5014823;61/1988 Sb.;254/2001 Sb.
7491052;9622501;22/1997 Sb.;254/2001 Sb.
7491052;9622539;22/1997 Sb.;274/2001 Sb.
16910044;16735443;309/2006 Sb.;254/2001 Sb.
17811271;18005311;167/2008 Sb.;254/2001 Sb.
17811271;18005339;167/2008 Sb.;274/2001 Sb.
17811271;18005367;167/2008 Sb.;76/2002 Sb.
3530391;5024889;62/1988 Sb.;283/2021 Sb.
13774222;14120369;22/2004 Sb.;283/2021 Sb.
16919680;16742321;311/2006 Sb.;283/2021 Sb.
7777655;9557119;61/1997 Sb.;283/2021 Sb.
8945218;10615021;159/1999 Sb.;283/2021 Sb.
8945223;10616343;159/1999 Sb.;283/2021 Sb.
9651160;10735417;26/2000 Sb.;283/2021 Sb.
11688016;12239009;312/2001 Sb.;283/2021 Sb.
13688417;13937357;441/2003 Sb.;283/2021 Sb.
56782126;13990225;361/2003 Sb.;283/2021 Sb.
56442809;9476371;48/1997 Sb.;15/1993 Sb.
56101260;8922269;117/1995 Sb.;42/1994 Sb.
56101260;8923985;117/1995 Sb.;151/1997 Sb.
56101260;8923829;117/1995 Sb.;18/1997 Sb.
56101260;8924141;117/1995 Sb.;45/2013 Sb.
56101260;8923049;117/1995 Sb.;87/1995 Sb.
56101260;8923517;117/1995 Sb.;89/2012 Sb.
56101260;8921645;117/1995 Sb.;96/1993 Sb.
12435617;12760421;214/2002 Sb.;455/1991 Sb.
12435617;12760433;214/2002 Sb.;40/2009 Sb.
12243504;12678835;119/2002 Sb.;455/1991 Sb.
12243504;12678901;119/2002 Sb.;455/1991 Sb.
12243504;12678967;119/2002 Sb.;40/2009 Sb.
56234230;20897631;134/2016 Sb.;455/1991 Sb.
56234230;20897663;134/2016 Sb.;455/1991 Sb.
56234230;20897695;134/2016 Sb.;40/2009 Sb.
56234230;20897759;134/2016 Sb.;229/2013 Sb.
20712801;19932767;229/2013 Sb.;455/1991 Sb.
20712801;19932781;229/2013 Sb.;455/1991 Sb.
20712801;19932795;229/2013 Sb.;40/2009 Sb.
15627360;15703725;228/2005 Sb.;455/1991 Sb.
15627360;15703733;228/2005 Sb.;455/1991 Sb.
15627360;15703741;228/2005 Sb.;40/2009 Sb.
15829016;16137711;412/2005 Sb.;455/1991 Sb.
15829016;16137765;412/2005 Sb.;455/1991 Sb.
15829016;16137819;412/2005 Sb.;40/2009 Sb.
56158247;30384397;634/1992 Sb.;455/1991 Sb.
56158247;30384653;634/1992 Sb.;455/1991 Sb.
56158247;30384661;634/1992 Sb.;455/1991 Sb.
6553774;8166339;200/1994 Sb.;455/1991 Sb.
6553774;8166361;200/1994 Sb.;455/1991 Sb.
6553774;8166097;200/1994 Sb.;189/1999 Sb.
6553774;8166383;200/1994 Sb.;189/1999 Sb.
6553774;8166185;200/1994 Sb.;77/2002 Sb.
9072781;10446465;219/1999 Sb.;455/1991 Sb.
9072781;10446483;219/1999 Sb.;455/1991 Sb.
9072781;10446519;219/1999 Sb.;229/2013 Sb.
6553780;8167205;200/1994 Sb.;455/1991 Sb.
6553780;8167239;200/1994 Sb.;455/1991 Sb.
17949908;17938603;273/2008 Sb.;455/1991 Sb.
22108214;21135947;191/2016 Sb.;455/1991 Sb.
22108214;21135959;191/2016 Sb.;455/1991 Sb.
56173771;11684209;258/2000 Sb.;455/1991 Sb.
56173771;11684327;258/2000 Sb.;455/1991 Sb.
56203627;16698263;262/2006 Sb.;455/1991 Sb.
56203627;16698379;262/2006 Sb.;455/1991 Sb.
56688523;10238385;329/1999 Sb.;455/1991 Sb.
56688523;10238433;329/1999 Sb.;455/1991 Sb.
56691539;14880863;634/2004 Sb.;455/1991 Sb.
56691539;14881161;634/2004 Sb.;455/1991 Sb.
12543941;13328671;281/2002 Sb.;455/1991 Sb.
12543941;13328675;281/2002 Sb.;455/1991 Sb.
56592233;21064875;263/2016 Sb.;455/1991 Sb.
56592233;21064889;263/2016 Sb.;455/1991 Sb.
12293521;12755049;146/2002 Sb.;455/1991 Sb.
56222116;19089963;373/2011 Sb.;455/1991 Sb.
56222116;19089985;373/2011 Sb.;455/1991 Sb.
15828988;16098453;412/2005 Sb.;455/1991 Sb.
15828988;16098507;412/2005 Sb.;455/1991 Sb.
22553387;21359597;194/2017 Sb.;455/1991 Sb.
22553387;21359611;194/2017 Sb.;455/1991 Sb.
13948284;14205979;166/2004 Sb.;455/1991 Sb.
13948284;14205983;166/2004 Sb.;455/1991 Sb.
19132329;18792073;69/2010 Sb.;455/1991 Sb.
19132329;18792077;69/2010 Sb.;455/1991 Sb.
56130848;19219591;374/2011 Sb.;455/1991 Sb.
56130848;19219603;374/2011 Sb.;455/1991 Sb.
56523258;6603113;114/1992 Sb.;455/1991 Sb.
56523258;6603129;114/1992 Sb.;455/1991 Sb.
56652920;14324769;235/2004 Sb.;455/1991 Sb.
56652920;14324863;235/2004 Sb.;455/1991 Sb.
17811299;17963941;167/2008 Sb.;350/2011 Sb.
17811299;17963997;167/2008 Sb.;326/2004 Sb.
16910039;17123689;309/2006 Sb.;350/2011 Sb.
24031592;22867115;87/2023 Sb.;634/2004 Sb.
24031592;22867133;87/2023 Sb.;634/2004 Sb.
24031592;22867151;87/2023 Sb.;634/2004 Sb.
24031592;22866785;87/2023 Sb.;168/1999 Sb.
24031592;22866803;87/2023 Sb.;168/1999 Sb.
24031592;22866821;87/2023 Sb.;168/1999 Sb.
24031592;22866839;87/2023 Sb.;168/1999 Sb.
24031592;22866857;87/2023 Sb.;168/1999 Sb.
24031592;22866875;87/2023 Sb.;168/1999 Sb.
24031592;22866893;87/2023 Sb.;168/1999 Sb.
24031592;22866911;87/2023 Sb.;168/1999 Sb.
24031592;22866929;87/2023 Sb.;168/1999 Sb.
24031592;22866947;87/2023 Sb.;168/1999 Sb.
24031592;22866965;87/2023 Sb.;168/1999 Sb.
24031592;22866983;87/2023 Sb.;168/1999 Sb.
24031592;22867001;87/2023 Sb.;168/1999 Sb.
24031592;22867019;87/2023 Sb.;168/1999 Sb.
23874251;22550199;243/2022 Sb.;634/2004 Sb.
9009138;10385147;166/1999 Sb.;634/2004 Sb.
12543940;13328567;281/2002 Sb.;634/2004 Sb.
56442846;9271759;48/1997 Sb.;634/2004 Sb.
4443568;5605755;455/1991 Sb.;634/2004 Sb.
4443568;5605779;455/1991 Sb.;206/2015 Sb.
7990845;9648219;252/1997 Sb.;634/2004 Sb.
13898797;14248793;99/2004 Sb.;634/2004 Sb.
56518042;5110745;44/1988 Sb.;114/1992 Sb.
56518042;5109861;44/1988 Sb.;128/2000 Sb.
56518042;5110405;44/1988 Sb.;334/1992 Sb.
56518042;5110677;44/1988 Sb.;114/1995 Sb.
6159315;8017331;19/1993 Sb.;114/1992 Sb.
6159315;8017345;19/1993 Sb.;358/1992 Sb.
55729738;8380427;90/1995 Sb.;128/2000 Sb.
56523174;6947093;114/1992 Sb.;289/1995 Sb.
17811279;18004527;167/2008 Sb.;76/2002 Sb.
17811279;18004583;167/2008 Sb.;100/2004 Sb.
13693979;13714761;457/2003 Sb.;76/2002 Sb.
13693979;13714773;457/2003 Sb.;149/2003 Sb.
17811280;18004359;167/2008 Sb.;76/2002 Sb.
17811280;18004415;167/2008 Sb.;149/2003 Sb.
17811277;18004919;167/2008 Sb.;76/2002 Sb.
17811288;18003491;167/2008 Sb.;76/2002 Sb.
17811281;18004191;167/2008 Sb.;76/2002 Sb.
12598835;12960701;312/2002 Sb.;76/2002 Sb.
17811278;18004723;167/2008 Sb.;76/2002 Sb.
4189382;6261093;92/1991 Sb.;89/2012 Sb.
7960204;9359729;201/1997 Sb.;187/2006 Sb.
56082608;8964111;236/1995 Sb.;187/2006 Sb.
56101341;8443525;117/1995 Sb.;234/2014 Sb.
56101341;8443369;117/1995 Sb.;435/2004 Sb.
12431360;12795465;201/2002 Sb.;234/2014 Sb.
56080168;8065011;283/1993 Sb.;234/2014 Sb.
56203638;16695983;262/2006 Sb.;234/2014 Sb.
56469394;7667627;586/1992 Sb.;234/2014 Sb.
56769330;7990543;293/1993 Sb.;592/1992 Sb.
9796204;10709355;58/2000 Sb.;100/2004 Sb.
10941575;11463863;491/2000 Sb.;100/2004 Sb.
11886390;12292801;490/2001 Sb.;100/2004 Sb.
12968253;13187687;579/2002 Sb.;100/2004 Sb.
13694003;13714425;457/2003 Sb.;100/2004 Sb.
15220049;15559363;675/2004 Sb.;100/2004 Sb.
16007875;15820885;543/2005 Sb.;100/2004 Sb.
56245754;8904547;89/1995 Sb.;228/2005 Sb.
4443711;6197267;455/1991 Sb.;40/2009 Sb.
11895447;12605613;491/2001 Sb.;258/2000 Sb.
11895447;12605557;491/2001 Sb.;168/1999 Sb.
56580242;19470353;85/2012 Sb.;258/2000 Sb.
11895425;12607709;491/2001 Sb.;258/2000 Sb.
13064361;13827223;62/2003 Sb.;258/2000 Sb.
56080161;8062775;283/1993 Sb.;258/2000 Sb.
56080161;8062515;283/1993 Sb.;277/2009 Sb.
56000426;14039949;353/2003 Sb.;189/1999 Sb.
56000426;14040237;353/2003 Sb.;241/2000 Sb.
56000426;14040093;353/2003 Sb.;256/2000 Sb.
56000426;14039805;353/2003 Sb.;272/1996 Sb.
179302;2384321;90/1947 Sb.;108/1945 Sb.
6498625;8140399;111/1994 Sb.;168/1999 Sb.
10326198;11024379;247/2000 Sb.;168/1999 Sb.
11612840;12505333;256/2001 Sb.;168/1999 Sb.
16919676;16742145;311/2006 Sb.;168/1999 Sb.
17949903;17978629;273/2008 Sb.;168/1999 Sb.
17949903;17978661;273/2008 Sb.;168/1999 Sb.
56203623;16699191;262/2006 Sb.;168/1999 Sb.
56203623;16699307;262/2006 Sb.;168/1999 Sb.
56339268;8303823;153/1994 Sb.;168/1999 Sb.
56367062;19992263;300/2013 Sb.;168/1999 Sb.
56367062;19992281;300/2013 Sb.;168/1999 Sb.
56536741;9579113;13/1997 Sb.;168/1999 Sb.
56536755;9191443;13/1997 Sb.;168/1999 Sb.
56652895;15093585;235/2004 Sb.;168/1999 Sb.
56652895;15093703;235/2004 Sb.;168/1999 Sb.
56691529;14871123;634/2004 Sb.;168/1999 Sb.
56691529;14871421;634/2004 Sb.;168/1999 Sb.
56694905;17834435;253/2008 Sb.;168/1999 Sb.
56822606;19025833;341/2011 Sb.;168/1999 Sb.
56822606;19025851;341/2011 Sb.;168/1999 Sb.
9072771;10447245;219/1999 Sb.;168/1999 Sb.
20299800;19589891;201/2012 Sb.;168/1999 Sb.
20299800;19589931;201/2012 Sb.;168/1999 Sb.
23356078;22036121;542/2020 Sb.;168/1999 Sb.
23356078;22036133;542/2020 Sb.;168/1999 Sb.
8914510;10494703;106/1999 Sb.;277/2009 Sb.
55733744;18724215;111/2009 Sb.;273/2008 Sb.
55733744;18724279;111/2009 Sb.;273/2008 Sb.
55733747;18172621;111/2009 Sb.;242/2016 Sb.
14646203;14654963;417/2004 Sb.;320/2015 Sb.
241332;2566309;126/1948 Sb.;114/1948 Sb.
243849;2567421;249/1948 Sb.;114/1948 Sb.
243842;2567367;249/1948 Sb.;114/1948 Sb.
245522;2723247;311/1948 Sb.;114/1948 Sb.
241160;2565861;125/1948 Sb.;114/1948 Sb.
242649;2566907;185/1948 Sb.;114/1948 Sb.
244531;2700611;273/1948 Sb.;114/1948 Sb.
240430;2534627;123/1948 Sb.;114/1948 Sb.
238446;2746279;119/1948 Sb.;114/1948 Sb.
238449;2746303;119/1948 Sb.;114/1948 Sb.
12002077;12688561;6/2002 Sb.;358/1992 Sb.
12002077;12688653;6/2002 Sb.;120/2001 Sb.
13908129;14613889;100/2004 Sb.;358/1992 Sb.
13908129;14613919;100/2004 Sb.;120/2001 Sb.
56442789;9483639;48/1997 Sb.;358/1992 Sb.
56770661;8858489;155/1995 Sb.;358/1992 Sb.
13898814;14250295;99/2004 Sb.;358/1992 Sb.
13898814;14250337;99/2004 Sb.;358/1992 Sb.
14557264;14543879;326/2004 Sb.;358/1992 Sb.
14557264;14543929;326/2004 Sb.;358/1992 Sb.
56687086;9046633;85/1996 Sb.;358/1992 Sb.
56478033;12362681;120/2001 Sb.;358/1992 Sb.
56478033;12362781;120/2001 Sb.;358/1992 Sb.
56652902;15090591;235/2004 Sb.;120/2001 Sb.
11895429;12607201;491/2001 Sb.;412/2005 Sb.
11895429;12607229;491/2001 Sb.;130/2000 Sb.
11895429;12607257;491/2001 Sb.;239/2000 Sb.
55983914;10937995;218/2000 Sb.;166/1999 Sb.
56203643;16694363;262/2006 Sb.;114/1993 Sb.
244532;2700627;273/1948 Sb.;115/1948 Sb.
56247351;11489711;133/2000 Sb.;115/2006 Sb.
56691534;14878905;634/2004 Sb.;119/2002 Sb.
4015518;5361561;565/1990 Sb.;121/2000 Sb.
11653111;12519375;274/2001 Sb.;121/2000 Sb.
12431352;12794911;201/2002 Sb.;121/2000 Sb.
13914375;14226549;122/2004 Sb.;121/2000 Sb.
14892063;14735489;500/2004 Sb.;121/2000 Sb.
56631698;11286323;458/2000 Sb.;121/2000 Sb.
6167511;8043253;36/1993 Sb.;231/2001 Sb.
56770660;8857777;155/1995 Sb.;231/2001 Sb.
9979461;10890257;130/2000 Sb.;231/2001 Sb.
6648215;8543115;37/1995 Sb.;231/2001 Sb.
7157793;8699127;247/1995 Sb.;130/2000 Sb.
55681622;11049291;240/2000 Sb.;239/2000 Sb.
11209409;12330923;101/2001 Sb.;122/2000 Sb.
11606230;12070603;254/2001 Sb.;123/1998 Sb.
15589386;15956089;178/2005 Sb.;256/2013 Sb.
15589386;15955907;178/2005 Sb.;541/1992 Sb.
9889248;10770541;121/2000 Sb.;132/2010 Sb.
56316608;11419563;129/2000 Sb.;500/2004 Sb.
9814785;10682201;61/2000 Sb.;500/2004 Sb.
9814785;10682237;61/2000 Sb.;29/2000 Sb.
9819721;10948443;63/2000 Sb.;500/2004 Sb.
9819721;10948459;63/2000 Sb.;29/2000 Sb.
55984911;11564597;219/2000 Sb.;500/2004 Sb.
55984911;11564679;219/2000 Sb.;29/2000 Sb.
56316593;11414393;129/2000 Sb.;500/2004 Sb.
56316593;11414475;129/2000 Sb.;29/2000 Sb.
3331975;4868257;133/1985 Sb.;500/2004 Sb.
6337929;7995703;331/1993 Sb.;500/2004 Sb.
3996936;5432131;527/1990 Sb.;14/1993 Sb.
10158437;11524001;207/2000 Sb.;14/1993 Sb.
4443681;6129453;455/1991 Sb.;14/1993 Sb.
56173767;11143939;258/2000 Sb.;146/2002 Sb.
14557270;14544541;326/2004 Sb.;146/2002 Sb.
12002074;12687777;6/2002 Sb.;147/2002 Sb.
12002074;12687885;6/2002 Sb.;219/2003 Sb.
12002074;12687939;6/2002 Sb.;377/2005 Sb.
13218141;13514641;219/2003 Sb.;147/2002 Sb.
13134770;13485503;148/2003 Sb.;219/2003 Sb.
13134770;13485523;148/2003 Sb.;219/2003 Sb.
10365507;11637959;256/2000 Sb.;377/2005 Sb.
56080162;8064075;283/1993 Sb.;15/1998 Sb.
56080162;8063711;283/1993 Sb.;218/2000 Sb.
56080162;8063607;283/1993 Sb.;29/2000 Sb.
56080162;8063919;283/1993 Sb.;320/2001 Sb.
56080162;8063451;283/1993 Sb.;61/1997 Sb.
5372626;6654351;358/1992 Sb.;29/2000 Sb.
13693984;13714653;457/2003 Sb.;29/2000 Sb.
15220031;15559099;675/2004 Sb.;29/2000 Sb.
56386766;10765983;115/2000 Sb.;29/2000 Sb.
5374734;7451263;359/1992 Sb.;320/2001 Sb.
56339272;8304121;153/1994 Sb.;331/1993 Sb.
9666310;10745211;29/2000 Sb.;153/1994 Sb.
56101344;8439713;117/1995 Sb.;154/1994 Sb.
4443687;6132775;455/1991 Sb.;155/1995 Sb.
4443563;5502775;455/1991 Sb.;257/2016 Sb.
7990868;9608981;252/1997 Sb.;162/2003 Sb.
23077514;21734313;355/2019 Sb.;165/2012 Sb.
23795240;22618121;57/2022 Sb.;165/2012 Sb.
56399123;30816575;433/2023 Sb.;165/2012 Sb.
56234229;20897567;134/2016 Sb.;165/2012 Sb.
56743686;9713985;111/1998 Sb.;166/1993 Sb.
7960206;9360249;201/1997 Sb.;169/1999 Sb.
7990858;9611267;252/1997 Sb.;256/2000 Sb.
22969175;21741243;110/2019 Sb.;2/1969 Sb.
56222930;19742483;503/2012 Sb.;44/1988 Sb.
56223043;19742943;503/2012 Sb.;229/1991 Sb.
20484186;19458299;428/2012 Sb.;229/1991 Sb.
20484190;19458439;428/2012 Sb.;229/1991 Sb.
6170255;7944693;39/1993 Sb.;229/1991 Sb.
6170255;7944753;39/1993 Sb.;42/1992 Sb.
6670667;8345687;58/1995 Sb.;60/1993 Sb.
56292277;6470149;21/1992 Sb.;60/1993 Sb.
56320005;11632705;250/2000 Sb.;22/2004 Sb.
56320005;11632881;250/2000 Sb.;22/2004 Sb.
4317569;5807459;424/1991 Sb.;361/2003 Sb.
56101329;8561091;117/1995 Sb.;361/2003 Sb.
56743694;9714843;111/1998 Sb.;585/2004 Sb.
11934438;12728325;3/2002 Sb.;561/2004 Sb.
11934438;12728421;3/2002 Sb.;359/1999 Sb.
4443717;6199641;455/1991 Sb.;561/2004 Sb.
4443717;6199811;455/1991 Sb.;561/2004 Sb.
10281003;11608847;239/2000 Sb.;224/2015 Sb.
23772749;22321541;519/2021 Sb.;240/2000 Sb.
9979469;10890917;130/2000 Sb.;247/1995 Sb.
56315349;11405427;128/2000 Sb.;247/1995 Sb.
56318734;10837225;131/2000 Sb.;247/1995 Sb.
13064376;13472447;62/2003 Sb.;491/2001 Sb.
12555103;13331613;285/2002 Sb.;256/2001 Sb.
55981585;10766771;104/2000 Sb.;266/1994 Sb.
56624967;11096499;406/2000 Sb.;266/1994 Sb.
11702105;12220701;320/2001 Sb.;273/2001 Sb.
11702105;12220789;320/2001 Sb.;273/2001 Sb.
13064365;13471699;62/2003 Sb.;273/2001 Sb.
9979471;10877263;130/2000 Sb.;273/2001 Sb.
11702117;12209479;320/2001 Sb.;273/2001 Sb.
7157796;8652293;247/1995 Sb.;273/2001 Sb.
11895437;12606325;491/2001 Sb.;273/2001 Sb.
13064374;13472337;62/2003 Sb.;273/2001 Sb.
13102770;13479987;114/2003 Sb.;273/2001 Sb.
56331912;14808235;561/2004 Sb.;273/2001 Sb.
8927978;10609627;107/1999 Sb.;275/2012 Sb.
56000453;14097503;353/2003 Sb.;311/2006 Sb.
56320002;11633663;250/2000 Sb.;326/1999 Sb.
56183829;16196935;108/2006 Sb.;340/2006 Sb.
56319976;11099315;250/2000 Sb.;347/1997 Sb.
56786939;16295301;182/2006 Sb.;347/1997 Sb.
56183843;16175699;108/2006 Sb.;372/2011 Sb.
55733755;18174743;111/2009 Sb.;387/2004 Sb.
12014778;12689293;12/2002 Sb.;387/2004 Sb.
56000413;13981297;353/2003 Sb.;4/1993 Sb.
4231088;5781387;229/1991 Sb.;503/2012 Sb.
56536756;9191161;13/1997 Sb.;56/2001 Sb.
56101345;8438621;117/1995 Sb.;58/1995 Sb.
56340629;10795891;72/2000 Sb.;73/2011 Sb.
56518060;5130185;44/1988 Sb.;85/2012 Sb.
7882827;9326063;110/1997 Sb.;96/2004 Sb.
10301962;11618653;242/2000 Sb.;96/2004 Sb.
3530393;5025409;62/1988 Sb.;96/2004 Sb.
56770694;8945945;155/1995 Sb.;10/1993 Sb.
55982997;11002445;218/2000 Sb.;10/1993 Sb.