akt.citace;akt.název.vyhlášený
1/1993 Sb.;Ústava
1/2023 Sb.;Sankční zákon
10/1993 Sb.;Zákon o státním rozpočtu
100/1945 Sb.;Dekret o znárodnění dolů a průmyslu
100/1961 Sb.;Zákon o úpravě nároků mezi čs. a rumunskými osobami
100/2001 Sb.;Zákon o posuzování vlivů na životní prostředí
100/2004 Sb.;Zákon o obchodování s ohroženými druhy
101/1945 Sb.;Dekret o znárodnění průmyslu potravinářského
101/2001 Sb.;Zákon o navracení kulturních statků
102/1930 Sb.;Úst. zákon o úpravě hranic s Německem, Rakouskem a Maďarskem
102/1945 Sb.;Dekret o znárodnění bank
102/2001 Sb.;Zákon o obecné bezpečnosti výrobků
103/1945 Sb.;Dekret o znárodnění pojišťoven
104/2000 Sb.;Zákon o SFDI
104/2008 Sb.;Zákon o nabídkách převzetí
104/2013 Sb.;Zákon o mezinár. spolupráci ve věcech trestních
104/2023 Sb.;Zákon o kompenzacích poskytovatelům zdr. služeb
105/1945 Sb.;Dekret o očistných komisích
105/2007 Sb.;Zákon o státním dluhopisovém programu
106/1999 Sb.;Zákon o svobodném přístupu k informacím
107/1999 Sb.;Zákon o jednacím řádu Senátu
107/2009 Sb.;Zákon o státním dluhopisovém programu
108/1945 Sb.;Dekret o konfiskaci nepřátelského majetku
108/2006 Sb.;Zákon o sociálních službách
108/2009 Sb.;Zákon o jednorázové částce nahrazující příplatek k důchodu
109/2002 Sb.;Zákon o výkonu ústavní výchovy
11/1918 Sb.;Zákon o zřízení samostatného státu československého
110/1997 Sb.;Zákon o potravinách a tabákových výrobcích
110/1998 Sb.;Úst. zákon o bezpečnosti
110/2006 Sb.;Zákon o životním minimu
110/2019 Sb.;Zákon o zpracování osobních údajů
111/1994 Sb.;Zákon o silniční dopravě
111/1998 Sb.;Zákon o vysokých školách
111/2006 Sb.;Zákon o pomoci v hmotné nouzi
111/2009 Sb.;Zákon o základních registrech
112/1964 Sb.;Zák. opatření o Pamětní medaili k 20. výročí SNP
114/1920 Sb.;Zákon o sloučení obcí s Prahou
114/1948 Sb.;Zákon o znárodnění dalších průmyslových a jiných podniků
114/1992 Sb.;Zákon o ochraně přírody a krajiny
114/1993 Sb.;Zákon o Kanceláři prezidenta republiky
114/1995 Sb.;Zákon o vnitrozemské plavbě
114/2003 Sb.;Zákon o provádění referenda o přistoupení k EU
115/1946 Sb.;Zákon o právnosti jednání souvisících s bojem o svobodu
115/1948 Sb.;Zákon o znárodnění dalších podniků v oboru potravinářském
115/2000 Sb.;Zákon o náhradě škod způsobených chráněnými živočichy
115/2001 Sb.;Zákon o podpoře sportu
115/2006 Sb.;Zákon o registrovaném partnerství
116/2020 Sb.;Zákon o náhradě újmy způsobené povinným očkováním
117/1990 Sb.;Zákon o zásluhách M. R. Štefánika
117/1995 Sb.;Zákon o státní sociální podpoře
117/2001 Sb.;Zákon o veřejných sbírkách
118/1948 Sb.;Zákon o znárodnění velkoobchodních podniků
118/2000 Sb.;Zákon o ochraně zam. při plat. neschopnosti zaměstnavatele
118/2010 Sb.;Zákon o krajském referendu
119/1948 Sb.;Zákon o organisaci zahraničního obchodu
119/1990 Sb.;Zákon o soudní rehabilitaci
119/2001 Sb.;Zákon o souběžně probíhajících výkonech rozhodnutí
119/2002 Sb.;Zákon o zbraních
12/1945 Sb.;Dekret o konfiskaci zemědělského majetku
12/1997 Sb.;Zákon o provozu na pozemních komunikacích
12/2002 Sb.;Zákon o státní pomoci při obnově území
12/2020 Sb.;Zákon o právu na digitální služby
120/1948 Sb.;Zákon o znárodnění obchodních podniků
120/2001 Sb.;Exekuční řád
121/1945 Sb.;Dekret o organisaci správy národních výborů
121/1948 Sb.;Zákon o znárodnění ve stavebnictví
121/1981 Sb.;Úst. zákon o souhlasu ke změnám hranic s NDR
121/2000 Sb.;Autorský zákon
121/2008 Sb.;Zákon o vyšších soudních úřednících
121/2021 Sb.;Zákon o mimoř. příspěvku zaměstnanci
122/1948 Sb.;Zákon o znárodnění cestovních kanceláří
122/2000 Sb.;Zákon o ochraně sbírek muzejní povahy
122/2004 Sb.;Zákon o válečných hrobech a pietních místech
123/1948 Sb.;Zákon o znárodnění polygrafických podniků
123/1998 Sb.;Zákon o právu na informace o životním prostředí
123/2002 Sb.;Zákon o přijetí úvěru EIB na ochranu před povodněmi
124/1945 Sb.;Dekret o opatřeních ve věcech knihovních
124/1948 Sb.;Zákon o znárodnění hostinských a výčepnických podniků
125/1948 Sb.;Zákon o znárodnění přírodních léčivých zdrojů a lázní
125/1992 Sb.;Zákon o zřízení Sekretariátu KBSE
125/2008 Sb.;Zákon o přeměnách obchodních společností
126/1948 Sb.;Zákon o znárodnění některých šlechtitelských podniků
126/1992 Sb.;Zákon o ochraně znaku a názvu Červeného kříže
127/1945 Sb.;Dekret o zřízení AMU v Praze
127/2005 Sb.;Zákon o elektronických komunikacích
128/1945 Sb.;Dekret o organisaci finančních úřadů
128/1946 Sb.;Zákon o neplatnosti jednání z doby nesvobody
128/2000 Sb.;Obecní zřízení
128/2022 Sb.;Zákon o konfliktu na Ukrajině (oblast daní)
129/1928 Sb.;Zákon o místní dráze Votice—Sedlčany
129/1945 Sb.;Dekret o České filharmonii
129/2000 Sb.;Krajské zřízení
129/2008 Sb.;Zákon o výkonu zabezpečovací detence
13/1997 Sb.;Zákon o pozemních komunikacích
130/2000 Sb.;Zákon o volbách do zastupitelstev krajů
130/2002 Sb.;Zákon o podpoře výzkumu a vývoje
131/1945 Sb.;Dekret o vybudování Akademického domu
131/1948 Sb.;Zákon o likvidaci německé evangelické církve
131/2000 Sb.;Zákon o hl. m. Praze
131/2002 Sb.;Zákon o rozhodování kompetenčních sporů
132/1945 Sb.;Dekret o vzdělání učitelstva
132/2006 Sb.;Zákon o kronikách obcí
132/2010 Sb.;Zákon o audiovizuálních službách
133/1945 Sb.;Dekret o zřízeni VÚP Jana Amose Komenského
133/1985 Sb.;Zákon o požární ochraně
133/2000 Sb.;Zákon o evidenci obyvatel
133/2020 Sb.;Zákon o úpravách v sociálním zabezpečení
134/2008 Sb.;Zákon o přijetí úvěrů EIB na operační programu doprava
134/2013 Sb.;Zákon o zvýšení transparentnosti akciových společností
134/2016 Sb.;Zákon o zadávání veřejných zakázek
135/1920 Sb.;Zákon o poměru pražských universit
135/1945 Sb.;Dekret o zřízení pobočky LF UK v Plzni
135/2020 Sb.;Zákon o přijímání ke vzdělávání a k jeho ukončování 2019/20
136/1949 Sb.;Zákon o opatřeních ve věcech konfiskovaných patentů
136/2011 Sb.;Zákon o oběhu bankovek a mincí
136/2020 Sb.;Zákon o úpravách v oblasti pojistného na soc. zabezpečení
136/2021 Sb.;Zákon o úpravách v oblasti dávek státní sociální podpory
137/2001 Sb.;Zákon o ochraně svědka v trestním řízení
138/1945 Sb.;Dekret o trestání provinění proti národní cti
139/2002 Sb.;Zákon o pozemkových úpravách a pozemkových úřadech
14/1993 Sb.;Zákon o ochraně průmyslového vlastnictví
14/2021 Sb.;Zákon o nakládání se zbraněmi
140/1945 Sb.;Dekret o zřízení VŠPS v Praze
140/1996 Sb.;Zákon o zpřístupnění svazků StB
141/1961 Sb.;Trestní řád
142/1947 Sb.;Zákon o revisi první pozemkové reformy
143/1947 Sb.;Zákon o převodu majetku Schwarzenbergů
143/1975 Sb.;Úst. zákon o změnách hranic s PLR
143/2001 Sb.;Zákon o ochraně hospodářské soutěže
146/2002 Sb.;Zákon o SZPI
147/2002 Sb.;Zákon o ÚKZÚZ
148/1947 Sb.;Zákon o provedení dohody o výměně obyvatelstva
148/1949 Sb.;Zákon o Národní galerii v Praze
148/2003 Sb.;Zákon o genetických zdrojích
148/2023 Sb.;Zákon o jednotném environmentálním stanovisku
149/2003 Sb.;Zákon o obchodu s reprodukčním materiálem lesních dřevin
15/1965 Sb.;Zák. opatření o Pamětní medaili k 20. výročí osvobození ČSSR
15/1993 Sb.;Zákon o Armádě
15/1998 Sb.;Zákon o dohledu v oblasti kapitálového trhu
15/2015 Sb.;Zákon o hranicích vojenských újezdů
150/2002 Sb.;Soudní řád správní
150/2017 Sb.;Zákon o zahraniční službě
151/1997 Sb.;Zákon o oceňování majetku
151/2010 Sb.;Zákon o zahraniční rozvojové spolupráci
151/2021 Sb.;Zákon o provádění režimů v oblasti zahraničního obchodu
152/1926 Sb.;Úst. zákon o štátnom občianstvu československém
153/1994 Sb.;Zákon o zpravodajských službách
154/1994 Sb.;Zákon o BIS
154/2000 Sb.;Plemenářský zákon
154/2002 Sb.;Zákon o financování sociálně zdravotních dávek horníků
155/1995 Sb.;Zákon o důchodovém pojištění
155/1998 Sb.;Zákon o znakové řeči
156/1926 Sb.;Zákon o závazkům vzniklých některým státům
156/1998 Sb.;Zákon o hnojivech
156/2000 Sb.;Zákon o ověřování střelných zbraní
157/1994 Sb.;Zákon o státních vyznamenáních
157/2009 Sb.;Zákon o nakládání s těžebním odpadem
158/1999 Sb.;Zákon o sčítání lidu, domů a bytů v roce 2001
158/2000 Sb.;Zákon o nerostných zdrojích z mořského dna
158/2013 Sb.;Zákon o Květnovém povstání
159/1999 Sb.;Zákon o podnikání v oblasti cestovního ruchu
159/2006 Sb.;Zákon o střetu zájmů
159/2020 Sb.;Zákon o kompenzačním bonusu
16/1993 Sb.;Zákon o dani silniční
160/2020 Sb.;Zákon o úpravách v oblasti dávek státní sociální podpory
160/2021 Sb.;Zákon o kompenzacích poskytovatelům zdr. služeb
161/2020 Sb.;Zákon o úpravách v oblasti zaměstnanosti
162/1992 Sb.;Zákon o působnosti při zmírnění následků majetkových křivd
162/2003 Sb.;Zákon o zoologických zahradách
162/2006 Sb.;Zákon o zřízení VŠTE v Českých Budějovicích
163/1990 Sb.;Zákon o bohosloveckých fakultách
164/2001 Sb.;Lázeňský zákon
164/2013 Sb.;Zákon o mezinár. spolupráci při správě daní
165/2012 Sb.;Zákon o podporovaných zdrojích energie
166/1993 Sb.;Zákon o NKÚ
166/1999 Sb.;Veterinární zákon
166/2004 Sb.;Zákon o převodu majetku ČR do vlastnictví krajů
167/1998 Sb.;Zákon o návykových látkách
167/2008 Sb.;Zákon o ekologické újmě
168/1924 Sb.;Zákon o místní dráze Holič—Hodonín
168/1947 Sb.;Zákon o zřízení JAMU v Brně
168/1999 Sb.;Zákon o pojištění odpovědnosti z provozu vozidla
169/1968 Sb.;Zákon o zřízení VŠV v Brně a VŠV v Košicích
169/1988 Sb.;Úst. zákon o změnách hranic s PLR
169/1990 Sb.;Zákon o občanských komisích
169/1999 Sb.;Zákon o výkonu trestu odnětí svobody
17/1992 Sb.;Zákon o životním prostředí
17/2012 Sb.;Zákon o Celní správě
170/2001 Sb.;Zákon o státním dluhopisovém programu
170/2002 Sb.;Zákon o válečných veteránech
170/2018 Sb.;Zákon o distribuci pojištění
171/1947 Sb.;Úst. zákon o mierovej smluve s Maďarskom
171/2023 Sb.;Zákon o ochraně oznamovatelů
172/1947 Sb.;Zákon o provedení mírových smluv
172/1991 Sb.;Zákon o přechodu věcí z majetku ČR do vlastnictví obcí
173/2002 Sb.;Zákon o poplatcích za udržování patentů
175/2007 Sb.;Zákon o státním dluhopisovém programu
175/2022 Sb.;Zákon o opatřeních souvisejících s konfliktem na Ukrajině
177/2020 Sb.;Zákon o opatřeních v oblasti splácení úvěrů
177/2023 Sb.;Zákon o financování obrany
178/2005 Sb.;Zákon o zrušení FNM
179/1946 Sb.;Úst. zákon o udělení občanství krajanům z Maďarska
179/2006 Sb.;Zákon o uznávání výsledků dalšího vzdělávání
179/2018 Sb.;Zákon o státní záruce na zajištění zápůjčky ČNB
18/1997 Sb.;Atomový zákon
18/2004 Sb.;Zákon o uznávání odborné kvalifikace
181/2007 Sb.;Zákon o ÚSTR a o ABS
181/2014 Sb.;Zákon o kybernetické bezpečnosti
181/2023 Sb.;Zákon o mimoř. odpuštění penále z pojistného
182/1993 Sb.;Zákon o Ústavním soudu
182/2006 Sb.;Insolvenční zákon
182/2023 Sb.;Zákon o mimoř. odpuštění daňových dluhů
183/1950 Sb.;Zákon o majetku osob, které optovaly pro SSSR
184/2006 Sb.;Zákon o vyvlastnění
185/1948 Sb.;Zákon o zestátnění léčebných a ošetřovacích ústavů
185/2020 Sb.;Zákon o opatřeních v odvětví cestovního ruchu
186/2011 Sb.;Zákon o součinnosti v řízení před mezinárodními soudy
186/2013 Sb.;Zákon o státním občanství
186/2016 Sb.;Zákon o hazardních hrách
187/2006 Sb.;Zákon o nemocenském pojištění
187/2016 Sb.;Zákon o dani z hazardních her
187/2020 Sb.;Zákon o prodloužení lhůt pro konání voleb do Senátu
188/2020 Sb.;Zákon o pravidlech pro vzdělávání na vysokých školách
189/1999 Sb.;Zákon o nouzových zásobách ropy
19/1993 Sb.;Zákon o orgánech státní správy v oblasti puncovnictví
19/1997 Sb.;Zákon o zákazu chemických zbraní
190/2004 Sb.;Zákon o dluhopisech
191/1950 Sb.;Zákon směnečný a šekový
191/2012 Sb.;Zákon o evropské občanské iniciativě
191/2016 Sb.;Zákon o ochraně státních hranic
191/2020 Sb.;Zákon o opatřeních v oblasti soudního řízení
192/1994 Sb.;Zákon o změně názvu některých vysokých škol
194/1949 Sb.;Zákon o čs. státním občanství
194/2010 Sb.;Zákon o veřejných službách v přepravě cestujících
194/2017 Sb.;Zákon o koordinaci staveb infrastruktury
196/2022 Sb.;Zákon o jednorázovém příspěvku na dítě
197/2002 Sb.;Zákon o přijetí úvěru EIB na rozvoj základny MU v Brně
197/2009 Sb.;Zákon o certifikaci dokladů s biometrickými údaji
197/2022 Sb.;Zákon o konfliktu na Ukrajině (oblast územního plánování)
198/1993 Sb.;Zákon o protiprávnosti komunistického režimu
198/2002 Sb.;Zákon o dobrovolnické službě
198/2009 Sb.;Antidiskriminační zákon
2/1969 Sb.;Zákon o zřízení ministerstev a ústředních orgánů ČSR
2/1991 Sb.;Zákon o kolektivním vyjednávání
2/1993 Sb.;Listina základních práv a svobod
20/1945 Sb.;Úst. dekret o výkonu moci zákonodárné
20/1987 Sb.;Zákon o státní památkové péči
20/1993 Sb.;Zákon o výkonu státní správy v oblasti technické normalizace
200/1994 Sb.;Zákon o zeměměřictví
201/1997 Sb.;Zákon o platu státních zástupců
201/2002 Sb.;Zákon o ÚZSVM
201/2012 Sb.;Zákon o ochraně ovzduší
202/2006 Sb.;Zákon o státním dluhopisovém programu
202/2012 Sb.;Zákon o mediaci
203/2005 Sb.;Zákon o odškodnění obětí okupace ČS
203/2006 Sb.;Zákon o druzích podpory kultury
206/2000 Sb.;Zákon o ochraně biotechnologických vynálezů
206/2005 Sb.;Zákon o ochraně služeb rozhlasového a televizního vysílání
206/2015 Sb.;Zákon o pyrotechnice
207/2000 Sb.;Zákon o ochraně průmyslových vzorů
209/2020 Sb.;Zákon o opatřeních v oblasti bytových nájmů
21/1948 Sb.;Zákon o právním postavení snoubenek a nemanželských dětí
21/1992 Sb.;Zákon o bankách
21/2006 Sb.;Zákon o ověřování
210/2020 Sb.;Zákon o opatřeních v oblasti nebytových nájmů
211/2000 Sb.;Zákon o SFRB
212/1946 Sb.;Zákon o zimním čase
212/2000 Sb.;Zákon o zmírnění majetkových křivd způsobených holocaustem
212/2009 Sb.;Zákon o zmírnění majetkové křivdy na území Podkarpatské Rusi
213/1919 Sb.;Zákon o sloučení obcí s Brnem
213/2011 Sb.;Zákon o zákazu kazetové munice
214/1919 Sb.;Zákon o sloučení obcí s Olomoucem
214/2002 Sb.;Zákon o vývozu kulturních statků z celního území ES
214/2004 Sb.;Zákon o zřízení Univerzity obrany
214/2009 Sb.;Zákon o státním dluhopisovém programu
214/2022 Sb.;Zákon o důvodech pro zastavení exekuce
215/1919 Sb.;Zákon o zabrání velkého majetku pozemkového
215/2004 Sb.;Zákon o úpravě vztahů v oblasti veřejné podpory
216/1994 Sb.;Zákon o rozhodčím řízení
217/1994 Sb.;Zákon o jednorázové částce obětem nacistické perzekuce
218/2000 Sb.;Rozpočtová pravidla
218/2003 Sb.;Zákon o soudnictví ve věcech mládeže
219/1999 Sb.;Zákon o ozbrojených silách
219/2000 Sb.;Zákon o majetku ČR
219/2002 Sb.;Zákon o změnách v soustavě ústř. orgánů státní správy
219/2003 Sb.;Zákon o oběhu osiva a sadby
22/1930 Sb.;Zákon o zásluhách T. G. Masaryka.
22/1997 Sb.;Zákon o technických požadavcích na výrobky
22/2004 Sb.;Zákon o místním referendu
220/1991 Sb.;Zákon o ČLK, ČSK a ČLnK
221/1999 Sb.;Zákon o vojácích z povolání
221/2003 Sb.;Zákon o dočasné ochraně cizinců
221/2006 Sb.;Zákon o vymáhání práv z průmyslového vlastnictví
221/2021 Sb.;Zahrádkářský zákon
222/1999 Sb.;Zákon o zajišťování obrany
222/2009 Sb.;Zákon o volném pohybu služeb
222/2016 Sb.;Zákon o Sbírce zákonů a mezinárodních smluv
223/1994 Sb.;Zákon o sloučení ČSOPK s HK
223/2016 Sb.;Zákon o prodejní době v maloobchodě a velkoobchodě
224/2015 Sb.;Zákon o prevenci závažných havárií
225/2022 Sb.;Zákon o prekurzorech výbušnin
226/2013 Sb.;Zákon o uvádění dřeva a výrobků na trh
227/2006 Sb.;Zákon o výzkumu na lidských embryonálních kmenových buňkách
228/1946 Sb.;Zákon o rozhodčích soudech
228/2005 Sb.;Zákon o kontrole obchodu s výrobky
228/2020 Sb.;Zákon o státní záruce na zajištění dluhů ČMZRB
229/1991 Sb.;Zákon o půdě
229/1992 Sb.;Zákon o komoditních burzách
229/2002 Sb.;Zákon o finančním arbitrovi
229/2013 Sb.;Zákon o nakládání s bezpečnostním materiálem
23/1991 Sb.;Listina základních práv a svobod ČSFR
23/2017 Sb.;Zákon o pravidlech rozpočtové odpovědnosti
231/1991 Sb.;Zákon o působnosti v mimosoudních rehabilitacích
231/2001 Sb.;Zákon o provozování rozhlasového a televizního vysílání
232/1935 Sb.;Zákon o státní poctě prvnímu presidentu ČSR
232/2006 Sb.;Zákon o přijetí úvěru na vodovody a kanalizace
234/2014 Sb.;Zákon o státní službě
235/2004 Sb.;Zákon o dani z přidané hodnoty
235/2012 Sb.;Úst. zákon o změnách hranic s Rakouskou republikou
236/1920 Sb.;Úst. zákon o státním občanství a právu domovském
236/1995 Sb.;Zákon o platu představitelů státní moci
239/1992 Sb.;Zákon o SFK
239/2000 Sb.;Zákon o integrovaném záchranném systému
240/2000 Sb.;Krizový zákon
240/2013 Sb.;Zákon o investičních společnostech
241/2000 Sb.;Zákon o hospodářských opatřeních pro krizové stavy
242/2000 Sb.;Zákon o ekologickém zemědělství
242/2016 Sb.;Celní zákon
242/2022 Sb.;Zákon o službách sdílení videonahrávek
243/1992 Sb.;Zákon o úpravě otázek souvisejících se zákonem o půdě
243/2000 Sb.;Zákon o rozpočtovém určení daní
243/2020 Sb.;Zákon o postihování porušení krizových a mimoř. opatření
243/2022 Sb.;Zákon o omezení dopadu plast. výrobků na životní prostředí
244/2008 Sb.;Zákon o státním dluhopisovém programu
245/1948 Sb.;Zákon o štátnom občianstve osôb maďarskej národnosti
245/2000 Sb.;Zákon o státních svátcích
246/1992 Sb.;Zákon na ochranu zvířat
246/2017 Sb.;Zákon o evropských politických stranách
247/1995 Sb.;Zákon o volbách do Parlamentu
247/2000 Sb.;Zákon o získávání způsobilosti k řízení motorových vozidel
247/2006 Sb.;Zákon o omezení provozu zastaváren
247/2014 Sb.;Zákon o dětských skupinách
247/2020 Sb.;Zákon o opatřeních v oblasti kulturních akcí
248/2000 Sb.;Zákon o podpoře regionálního rozvoje
248/2020 Sb.;Zákon o opatřeních v oblasti ochrany zaměstnanců
249/1948 Sb.;Zákon o zestátnění ústavů zemědělského
249/2020 Sb.;Zákon o opatřeních v oblasti sportu
249/2021 Sb.;Zákon o opatřeních v oblasti realitního zprostředkování
25/2008 Sb.;Zákon o registru znečišťování životního prostředí
25/2017 Sb.;Zákon o sběru údajů pro řízení veřejných financí
250/2000 Sb.;Zákon o rozpočtových pravidlech územních rozpočtů
250/2016 Sb.;Přestupkový zákon
250/2017 Sb.;Zákon o elektronické identifikaci
250/2021 Sb.;Zákon o bezpečnosti práce
251/1946 Sb.;Zákon o vyvlastnění Pražského sanatoria
251/2005 Sb.;Zákon o inspekci práce
251/2016 Sb.;Zákon o některých přestupcích
252/1997 Sb.;Zákon o zemědělství
253/2008 Sb.;Zákon o legalizaci výnosů z trestné činnosti
254/2001 Sb.;Vodní zákon
254/2004 Sb.;Zákon o omezení plateb v hotovosti
254/2019 Sb.;Zákon o znalcích
255/1921 Sb.;Zákon o 24hodinovém počítání času
255/1946 Sb.;Zákon o příslušnících čs. armády v zahraničí
255/2012 Sb.;Kontrolní řád
255/2020 Sb.;Zákon o snížení penále z pojistného na sociální zabezpečení
256/2000 Sb.;Zákon o SZIF
256/2001 Sb.;Zákon o pohřebnictví
256/2004 Sb.;Zákon o podnikání na kapitálovém trhu
256/2013 Sb.;Katastrální zákon
257/1992 Sb.;Zákon o soudních poplatcích za řízení u NS ČSFR
257/2000 Sb.;Zákon o Probační a mediační službě
257/2001 Sb.;Knihovní zákon
257/2016 Sb.;Zákon o spotřebitelském úvěru
258/2000 Sb.;Zákon o ochraně veřejného zdraví
26/1993 Sb.;Zákon o změně zákonů o vnitřním pořádku a bezpečnosti
26/2000 Sb.;Zákon o veřejných dražbách
26/2022 Sb.;Zákon o mimoř. ředitelském volnu
261/2007 Sb.;Zákon o stabilizaci veřejných rozpočtů
262/2006 Sb.;Zákoník práce
262/2011 Sb.;Zákon o účastnících odboje proti komunismu
262/2017 Sb.;Zákon o náhradě škody v oblasti hospodářské soutěže
263/2016 Sb.;Atomový zákon
265/1991 Sb.;Zákon o působnosti v oblasti cen
266/1994 Sb.;Zákon o dráhách
269/1994 Sb.;Zákon o Rejstříku trestů
269/2021 Sb.;Zákon o občanských průkazech
272/1996 Sb.;Zákon o opatřeních v soustavě ústř. orgánů státní správy
272/2013 Sb.;Zákon o prekursorech drog
273/1948 Sb.;Zákon o závazcích dotčených znárodňovacími předpisy
273/1996 Sb.;Zákon o ÚOHS
273/2001 Sb.;Zákon o právech příslušníků národnostních menšin
273/2008 Sb.;Zákon o Policii
274/2001 Sb.;Zákon o vodovodech a kanalizacích
274/2002 Sb.;Zákon o přijetí úvěru na projekt dálničního obchvatu Plzně
275/2012 Sb.;Zákon o volbě prezidenta republiky
276/2003 Sb.;Zákon o Antarktidě
277/2009 Sb.;Zákon o pojišťovnictví
277/2013 Sb.;Zákon o směnárenské činnosti
279/1992 Sb.;Zákon o dalších předpokladech pro výkon funkcí
279/2003 Sb.;Zákon o výkonu zajištění majetku a věcí v trestním řízení
28/1945 Sb.;Dekret o osídlení zemědělské půdy
280/1992 Sb.;Zákon o zdravotních pojišťovnách
